防寒着
ｼｭｰｽﾞ＋ﾌﾞﾗｼ＋ﾍﾙﾒｯﾄ一式
ﾊﾟｰｸｺﾞﾙﾌｸﾗﾌﾞ＋ﾎﾞｰﾙ一式
