1,ｼｭｰｽﾞ＋ﾌﾞﾗｼ＋ﾍﾙﾒｯﾄ一式
2,防寒着
3,ﾊﾟｰｸｺﾞﾙﾌｸﾗﾌﾞ＋ﾎﾞｰﾙ一式
